what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441532986968
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441532987808
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441532987838
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533001150
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533001160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533008157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533008180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533014865
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533021545
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533021764
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533021782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533026521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533026543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533031255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1441533032401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1441533033682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533043792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533045713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533047790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533051358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533053089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533059306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533060655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533064097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533065713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533074601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533109558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533114033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533120055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533130610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533133391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533149401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533154175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533184218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533200098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533201774
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533204201
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533222379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533222396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1441533230349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1441533231804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533241695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533246689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533246713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533252479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533254945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533256656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533259193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533260975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533263550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533265098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533267850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533269416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533284922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533287974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1441533290179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533298406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533303741
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1441533318235
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1441533318327
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1441533318351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533324885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533327135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533370169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533370268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533372010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533373770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533382970
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533399996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533408659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533444146
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533445969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533460456
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533460482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533473545
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533478994
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533479662
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533479663
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533480772
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533480772
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533486765
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533486775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533488005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533488016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533494791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533497514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533499362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533501270
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533519354
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533519627
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533519642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533521346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533521367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533524505
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533526177
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533528380
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533528396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533529715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533529733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533532951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533534881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533536083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533537538
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533539449
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533539449
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533540021
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533540021
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533542660
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533542661
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533546094
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533546106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533547313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533547329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533550810
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533551865
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533551866
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533556250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533556259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533557468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533557483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533562123
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533563121
